,name,addr,grade,review
362,미방 신도림점,서울 구로구 경인로 669-1,4.3,맛있습니다 마늘 밥 필수 직원 분 친절하시고 좋았습니다 2 층 안 1 층 공간 좁고 테이블 작아서 좀 불편했어요 
363,참조은순대국전문점 구로직영점,서울 구로구 구로중앙로 47,3.8,순 대국 👍 
364,참조은순대국전문점 구로직영점,서울 구로구 구로중앙로 47,3.8,소머리국밥 맛 있는데 불친절해요 
365,참조은순대국전문점 구로직영점,서울 구로구 구로중앙로 47,3.8,맛있 눈데 누가 엄청 그랬는데 이상한 소리 제 입 맛있었다요 
366,홍중샤브샤브 신도림2호점,서울 구로구 새말로16길 29 2층,3.8,
367,홍중샤브샤브 신도림2호점,서울 구로구 새말로16길 29 2층,3.8,맛있지 몇 년 전 내 최애 훠궈 집 
368,홍중샤브샤브 신도림2호점,서울 구로구 새말로16길 29 2층,3.8,진짜 맛있어용 홍탕 콤마 맛 ㅎㅎ 무한리필 가성 비도 좋아요 추천 
369,추억굽는꼼이네 신도림점,서울 구로구 공원로8길 13 1층,4.3,존맛 
370,추억굽는꼼이네 신도림점,서울 구로구 공원로8길 13 1층,4.3,오빠 취향 저격 메뉴 가득한 곳 꼼장어 뒷 고기 껍데기 다 맛있다 식사 국수 굿 재 방문 의사 충분히 있는 곳 
371,추억굽는꼼이네 신도림점,서울 구로구 공원로8길 13 1층,4.3,꼼장어 닭발 너무 맛있음 잔치국수 존맛 직원 분들 친절하 심 
372,오대양참치 구로점,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 1층 118,119호,1.8
373,오대양참치 구로점,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 1층 118,119호,1.8
374,오대양참치 구로점,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 1층 118,119호,1.8
375,우방정육식당,서울 구로구 부일로1길 110,3.6,배불러도 계속 
376,우방정육식당,서울 구로구 부일로1길 110,3.6,너무 맛있었어요 
377,우방정육식당,서울 구로구 부일로1길 110,3.6,
378,삿뽀로 디큐브점,서울 구로구 경인로 662 5층,2.5,
379,삿뽀로 디큐브점,서울 구로구 경인로 662 5층,2.5,친절하고 룸 분위기 괜찮은데 해산물 상태 이번 좀 별로 별 하나 런치 코스 먹기 괜찮아요 
380,삿뽀로 디큐브점,서울 구로구 경인로 662 5층,2.5,점심 메뉴 그냥 저 괜찮았음 배 안 같았는데 불고기 같은것도 괜찮았고 평일 점심 끝물 조용하게 주변 테이블 하나 안 그릇 그대로 당황 스럽긴 고급 진 분위기 아니여서 룸 아닌 이상 격식 모임 그냥 점심 정갈하게 일식 추천 
381,대왕곱창구이,서울 구로구 새말로16길 29,3.6,맛있어요 
382,대왕곱창구이,서울 구로구 새말로16길 29,3.6,왜 별 점 3.3 인지 이해 안되네요 집 입니다 맛있어서 술 술술 그게 단점 입니다 ㅋ 
383,대왕곱창구이,서울 구로구 새말로16길 29,3.6,막 엄청 맛집 아니지만 못 집도 아님사 장님 들 친절하시고 볶음밥 맛있는 편 
384,육풍 구로디지털단지점,서울 구로구 디지털로32나길 20,3.8,고기 자체 맛있는데 양 솔직히 그 외 사이드 너무 부실함 
385,육풍 구로디지털단지점,서울 구로구 디지털로32나길 20,3.8,맛있습니다 그런데 저 2 인분 여자 둘 4 인분 배 
386,육풍 구로디지털단지점,서울 구로구 디지털로32나길 20,3.8,♩♪♩♪♬♪ 맛있어 
387,장어타운,서울 구로구 남부순환로95길 34 성한빌딩 1층,3.9,서비스 최악 날짜 지난 막걸리 곳 더운 날 가면 오는 곳 
388,장어타운,서울 구로구 남부순환로95길 34 성한빌딩 1층,3.9,장어 꼼장어 반찬 다 맛있어요 반찬 조합 좋네요 
389,장어타운,서울 구로구 남부순환로95길 34 성한빌딩 1층,3.9,진짜 맛집 장어 꼼장어 이 것 심히 맛있어요 
390,이실이네,서울 구로구 공원로6나길 29-21 1층,3.8,
391,이실이네,서울 구로구 공원로6나길 29-21 1층,3.8,제일 맛있음 ♡ 
392,이실이네,서울 구로구 공원로6나길 29-21 1층,3.8,아구찜 
393,한라산도새기 오류점,서울 구로구 서해안로 2318 1층,3.1,일단 4 인분 시 켯 양은 그렇다치고 한 줄 아예 3/4 비계 고기 양 구 ㅋㅋㅋ 그리고 소금 장 참기름 소금 흡수 참기름 유무 안보 일정 도로 ㅋㅋ 진짜 양도 원래 더 주 먹기 도전 먹기 싫어지는 그런 곳 요 예전 때 좌 식 일 때 돼지갈비 땐 가끔 주인 진짜 서비스 별로 
394,한라산도새기 오류점,서울 구로구 서해안로 2318 1층,3.1,차돌 맛 여 냉면 면 얇으면서 질 기고 양념 아 수 워 차돌 맨 밥 듸짐 
395,한라산도새기 오류점,서울 구로구 서해안로 2318 1층,3.1,사장 님 알바 분 다 친절하 심 그리고 제주 흑 돼지 훨 맛있어요 자주 
396,교대이층집 신도림점,서울 구로구 경인로 661 푸르지오1차상가 2층 242호,2.9,불친절함 반말 함 이런 경험 처음 사람 없는 이유 있음 옆 사람 많 드 
397,교대이층집 신도림점,서울 구로구 경인로 661 푸르지오1차상가 2층 242호,2.9,냠 
398,교대이층집 신도림점,서울 구로구 경인로 661 푸르지오1차상가 2층 242호,2.9,
399,김사부 본점,서울 구로구 서해안로 2334 1층,3.0,ㅈㅁㅌ 
400,김사부 본점,서울 구로구 서해안로 2334 1층,3.0,다 같은 간장 베이스 같운데 음식 들 너무 돼지갈비 설탕 좀 줄 이심 
401,김사부 본점,서울 구로구 서해안로 2334 1층,3.0,사장 싸가지 없음 
402,말뚝곱창 구로디지털단지점,서울 구로구 시흥대로 571 부호빌딩 1층,2.9,구 디 약속 있어 말뚝 곱창 모듬 역시 맛집 요 계란 볶음밥 칼칼한 순두부 완전 일품 역시 곱창 완전 진리 입니다 ㅎㅎ 너무 맛있어서 자꾸 
403,말뚝곱창 구로디지털단지점,서울 구로구 시흥대로 571 부호빌딩 1층,2.9,곱창 질 기고 냄새 요 오래된 냉동 곱창 느낌 그냥 한마디 맛없어요 
404,말뚝곱창 구로디지털단지점,서울 구로구 시흥대로 571 부호빌딩 1층,2.9,
405,키친브로망스,서울 구로구 새말로16길 16 지하 1층,4.2,이집 메뉴 다 맛있어서 때 블랑생맥 여러 잔 샹 가구 들 엔틱 분위기 꽤 좋음 신도림 파스타 집 백화점 안 있는줄 맛집 들 있는 길 있어서 데이트 2 차로 다른 술집 가도 좋을듯 
406,키친브로망스,서울 구로구 새말로16길 16 지하 1층,4.2,평이 왜 이렇게 안좋은지는 가성 비 좋음 내 때 곰팡이 냄새 없었음 크리스마스 때 와인 포함 코스 요리 둘이서 5-6만원 정도 분위기 좋고 양도 그렇게 적지 맛 괜찮았음 불만 사람 들 10 몇 만원 씩 레스토랑 가야 그리고 비싼데도 양 곳 ㅠ 
407,키친브로망스,서울 구로구 새말로16길 16 지하 1층,4.2,화장실 곰팡이 너 무심 불 청결합니다 홀 곰팡이 냄새 있어서 입맛 
408,맛찬들왕소금구이 구로점,서울 구로구 디지털로32나길 17-28,3.8,고기 맛 근데 서비스 불친절 여기 알바몬 구인 구직 꾸준히 곳 그만큼 사람 많다는 곳 진짜 딱 고기 보고 곳 가격 서비스 그닥 이모 사장 싸가지 없음 
